Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY
Date,,,,,,,,,,,,,,,,,,,,
2023-12-27,749.7824096679688,50.08916091918945,406.4923400878906,463.74786376953125,750.2239701576682,50.60228911990351,406.77881943678676,463.893840449239,744.2082775067636,49.52669426469732,405.08960720527585,462.1712562282074,746.6322481331397,49.96088169222299,405.9490452519644,462.70651395388256,486900,52148000,31980500,68000300
2023-12-28,743.7175903320312,49.724056243896484,406.2947692871094,463.92303466796875,748.8599251330306,50.197712217786155,407.8950804007767,464.75998742977106,743.678357814884,49.497096325008705,405.9391646926511,463.5045582870676,747.8589269245313,50.13850757372686,407.6481227170023,464.10794836189996,468000,27705200,27029200,77158100
2023-12-29,742.804931640625,49.58590316772461,404.5364074707031,462.5799255371094,746.1709617793272,49.9016737922272,406.6306338260502,464.2538605283432,738.3005595479744,49.11224723097072,402.62001354809854,460.6237492048473,743.8942778714305,49.63524162200012,406.2749991067649,463.7283148554509,517900,29288700,42662100,122283100
2024-01-02,703.5509033203125,47.16828536987305,397.6907653808594,459.9912109375,717.1426653133815,48.72740625777313,401.14817289593526,460.9839117212058,700.8227757351464,46.82291239560814,395.3693571629253,457.8890577311239,716.3870050588212,48.54978479549887,400.901215216287,459.5143439023402,1368700,45905700,58026900,123623700
2024-01-03,690.2536010742188,46.428192138671875,393.4825439453125,456.23455810546875,693.4626415119649,47.178150178605605,396.1200648735102,458.5702737454352,686.5538846011954,46.18149610842996,393.0479262220972,455.631168116003,687.53523667175,46.47753059186372,395.06307891170303,457.83061907435547,952000,35858400,47002800,103585900
2024-01-04,687.2310791015625,46.25057601928711,391.4575500488281,454.76507568359375,696.2791771176136,46.53674435073411,394.72726726631595,458.346508982876,684.5029512569363,44.64212042725696,391.2402260881703,454.5412249647981,684.9838042293968,45.11577640812625,391.61560657896115,455.75774684908487,752100,47797800,39432800,84232200
2024-01-05,690.2241821289062,46.27030944824219,391.9217834472656,455.387939453125,696.5538549790107,47.19788898358277,394.6975849712644,457.8404368275673,686.5538751222458,46.02361340404019,390.52893870896423,453.9378252017517,687.6922770506787,46.408458630710044,391.6254463311151,454.9694333616534,579200,34344000,44922800,86118900
2024-01-08,707.3978271484375,47.809696197509766,400.0220947265625,461.8890380859375,707.3978271484375,48.11559689647681,400.3085439534449,462.0350147729897,698.6343007679822,46.349256004061985,392.99860205888314,455.75774992757283,699.3605515872223,46.44793292031915,393.14677064971954,455.8842729564319,835300,42135100,42473800,74879100
2024-01-09,702.5989990234375,47.41497802734375,400.81231689453125,461.18829345703125,705.6608125703588,47.91824005579795,401.74088018825046,462.2101599071882,697.417431545894,47.16828198790462,396.82147232234684,458.72605447786003,697.417431545894,47.37550575760561,397.01905052593867,459.23211686361327,587000,30097000,39132900,65931400
2024-01-10,704.4046630859375,46.842647552490234,403.52886962890625,463.7964782714844,706.5734726691247,47.66167648760095,404.5364461618828,464.6626560070687,694.836480643543,46.31964936260299,400.23940642845145,461.17852110920177,703.109271198407,47.602471844269466,401.1284480923958,461.4607624691406,506400,31480200,33962800,67310600
2024-01-11,705.1309814453125,47.01039505004883,404.3685302734375,463.5921325683594,710.6854081994217,47.207752627642286,406.196023220601,465.3147167416708,695.4155713068502,46.112421648067155,399.32069938087903,459.6116768106503,707.0543933043913,46.81303747245537,404.80317822236947,464.7989126874992,603900,31707900,54536200,77940700
